PM10 Delhi,12:00:00 AM,1:00:00 AM,2:00:00 AM,3:00:00 AM,4:00:00 AM,5:00:00 AM,6:00:00 AM,7:00:00 AM,8:00:00 AM,9:00:00 AM,10:00:00 AM,11:00:00 AM,12:00:00 PM,1:00:00 PM,2:00:00 PM,3:00:00 PM,4:00:00 PM,5:00:00 PM,6:00:00 PM,7:00:00 PM,8:00:00 PM,9:00:00 PM,10:00:00 PM,11:00:00 PM
4/19/2015,372.29,390.59,381.16,291.26,402.41,401.65,375.24,363.6,400.24,302.38,226.15,349.7,251.92,242.48,195.62,156.48,174.7,169.34,177.11,255.42,343.89,429.8,381.76,376.53
4/20/2015,335.71,311.63,303.59,320.12,322.57,358.6,328.08,314.8,304.37,369.06,366.93,389.02,380.39,365.96,367.14,323.19,329.18,293.17,299.46,292.48,323.59,348.72,368.6,362.68
4/21/2015,329.94,314.09,308.55,322.91,380.99,316.23,443.52,426.56,441.75,422.35,422.18,414.93,357.14,308.73,300.49,314.98,333.05,306.36,215.26,201.63,215.59,263.37,298.11,208.68
4/22/2015,219.53,377.7,351.58,253.55,259.46,289.52,302.17,226.48,384.41,335.75,407.89,310.6,271.91,253.71,225.66,180.72,209.72,254.35,219.95,217.87,256.29,312.48,277.12,307.49
4/23/2015,311.84,276.29,294.63,396.41,391.45,385.02,378.25,419.37,283.13,283.7,370.52,271.6,232.21,154.83,154.2,163.91,152.08,140.28,139.45,167.89,215.76,341.33,302.81,341.44
4/24/2015,389.31,349.12,389.91,409.5,360.53,332.77,388.77,412.45,432.41,456.36,397.34,339.74,277.09,212.49,158.11,166.11,158.25,136.93,158.01,187.17,274.77,335.88,396.74,405.02
4/25/2015,384.19,375.62,327.03,276.01,278.97,283.35,316.64,326.96,331.26,379.61,372.38,361.77,351.16,325.69,340.97,309.22,270.47,270.28,282.37,248.87,269.36,295,334.56,341.5
4/26/2015,309.43,303.99,271.26,110.08,110.53,92.66,74.89,234.15,174.13,103.11,106.23,113.32,88.63,102.91,90.88,148.69,171.51,170.29,160.91,158.85,170.11,180.09,192.41,208.11
4/27/2015,195.93,188.35,177.02,149.39,144.32,147.09,142.93,146.46,147.24,148.19,167.79,195.32,205.59,193.56,181.1,180.21,172.62,163.47,169.04,171.09,176.61,208.99,206.95,208.81
4/28/2015,181.67,177.72,189.45,263.8,142.46,101.67,66.78,70.38,94.66,100.36,100.05,151.81,181.11,139.27,130.01,132.42,127.48,130.35,143.08,181.66,204.72,112.52,139.39,127.07
4/29/2015,131.99,145.47,131.98,103.23,91.48,81.77,92.82,111.01,131.79,137.9,147.57,130.69,135.44,143.76,111.8,121.08,121.82,129.05,134.58,149.19,171.68,177.51,166.61,157.23
4/30/2015,154.73,154.32,141.44,134.95,119.65,121.67,131.72,127.4,150.99,179.76,149.97,165.43,189.53,184.67,219.09,189.92,207.1,180.34,192.61,196.62,219.04,230.24,199.43,173.52
5/1/2015,169.43,179.84,186.75,207.22,325.29,217.43,143.93,99.06,121.78,149.71,164.06,182.66,144.67,174.56,170.28,166.95,154.22,167.09,201.08,181.31,243.38,255.04,271.78,349.97
5/2/2015,312.68,342.28,306.78,88.55,90.22,110,109.89,112.05,167.11,162.61,150.89,174.39,160.61,164.44,193.06,153.71,172.54,191.34,215.89,187.78,239.44,318.67,369.89,451.61
5/3/2015,415.72,389.17,394.17,407.67,397.44,387.22,447.16,461,586,430.25,327.41,267.25,246.25,188.42,148.42,221.67,202.67,239.12,228.83,239.53,298.26,335.11,469.78,288.04
5/4/2015,410.06,415.28,396,377.11,417.28,385.22,401.67,382.78,409.44,392.16,232.61,212.38,203.11,195.78,180.98,180.22,182.18,187.63,199.98,208.53,303.01,482.93,551.43,533.33
